"ID";"IDIOMA";"REFRAN"
1;"FRANCES";"A beau demandeur, beau refuseur."
2;"FRANCES";"A beau jeu beau retour."
3;"FRANCES";"A beau mentir qui vient de loin."
4;"FRANCES";"A bon appétit il ne faut point de sauce."
5;"FRANCES";"A bon chat bon rat."
6;"FRANCES";"A bon cheval point d’éperon."
7;"FRANCES";"A bon chien il ne vient jamais un bon os."
8;"FRANCES";"Abondance de biens ne nuit pas."
9;"FRANCES";"A bon entendeur demi-mot."
10;"FRANCES";"A bon pêcheur échappe anguille."
11;"FRANCES";"A bon vin point d’enseigne."
12;"FRANCES";"A brebis tondue Dieu mesure le vent."
13;"FRANCES";"Absent le chat, les souris dansent."
14;"FRANCES";"Absent n’est point sans coulpe ni présent sans excuse."
15;"FRANCES";"A carême-prenant chacun a besoin de sa poële."
16;"FRANCES";"A celui qui a son pâté au four on peut donner de son gâteau."
17;"FRANCES";"A chacun son fardeau pèse."
18;"FRANCES";"A chair de loup sauce de chien."
19;"FRANCES";"A chaque fou plaît sa marotte."
20;"FRANCES";"A chaque jour suffit sa peine."
21;"FRANCES";"A chaque saint son cierge."
22;"FRANCES";"A chemin battu ne croît point d’herbe."
23;"FRANCES";"Acheter chat en poche."
24;"FRANCES";"A cheval donné, il ne faut point regarder à la bouche."
25;"FRANCES";"A chose faite conseil pris."
26;"FRANCES";"A confesseurs, médecins, avocats, la vérité ne cèle de ton cas."
27;"FRANCES";"Adieu paniers, vendanges sont faites."
28;"FRANCES";"A dur âne dur aiguillon."
29;"FRANCES";"A femme avare galant escroc."
30;"FRANCES";"A force de mal aller tout ira bien."
31;"FRANCES";"A fripon fripon et demi."
32;"FRANCES";"A goupil endormi rien ne lui chet en gueule."
33;"FRANCES";"A homme hardi fortune tend la main."
34;"FRANCES";"Aide-toi, le ciel t’aidera."
35;"FRANCES";"Aime-moi un peu, mais continue."
36;"FRANCES";"Aimer et savoir n’ont même manière."
37;"FRANCES";"Ainsi dit le renard des mûres, quand il n’en peut avoir: elles ne sont point bonnes."
38;"FRANCES";"Aisé à dire est difficile à faire."
39;"FRANCES";"A la chandelle la chèvre semble demoiselle."
40;"FRANCES";"A la fin saura-t-on qui a mangé le lard."
